201410010525.3$CN103724282$20150708$20140109$C07D  239/74    (2006.01);B01J   31/22    (2006.01);B01J   31/24    (2006.01)$一种医药中间体喹唑啉衍生物的合成方法$本发明涉及一种医药中间体喹唑啉衍生物的合成方法，所述方法包括在镍化合物和有机配体存在下和碱性条件下，2-氯代喹唑啉类化合物与三醇硼酸盐反应，而得到目的产物。此外，本发明还提供了2-氯代喹唑啉类化合物的合成方法，该合成方法包括在特定的配体存在下，邻氨基苯甲胺类化合物、甲醛、氯化物发生反应而得到2-氯代喹唑啉类化合物。本发明的目的产物合成方法和原料合成方法均操作简单、条件温和、收率和纯度高，为医药领域提供了合成简单、易于工业化制备的医药原料，具有良好的市场前景和应用潜力。$于海波$262212 山东省潍坊市诸城市相州镇驻地相州中心卫生院$于海波;张永亮;袁爱梅
201410010835.5$CN103786380$20150708$20140110$B32B    9/02    (2006.01);B32B    9/04    (2006.01);B32B   15/04    (2006.01);C08F  251/00    (2006.01)$一种汽车魔芋贴膜及其制备方法$本发明涉及一种汽车魔芋贴膜及其制备方法。汽车魔芋贴膜的制备方法包括魔芋凝胶液的制备、魔芋凝胶液脱气、魔芋凝胶膜的制和喷镀金属。本发明以魔芋葡甘聚糖为载体并辅以其他助剂，具有优良的凝胶性、持水性、隔热性、阻光性，并且弹性好、柔韧性强、不易断裂。本发明的汽车魔芋贴膜与传统的车膜相比，具有隔热、阻光、弹性好、柔韧性强的功效，且生产材料环保，还具有生产成本低，环境污染少，对人体没有伤害等优点。安全性和使用性能完全符合国家有关标准要求。$福建农林大学$350002 福建省福州市仓山区建新镇金山学区$庞杰;陈国正;薛海波;李孟繁;王洁;胡聪;冯瑞;郑金贵
201410011317.5$CN103722337$20150708$20140109$B23K   37/04    (2006.01)$一种电梯轿厢托架的焊接治具$本发明公开了一种电梯轿厢托架的焊接治具，在焊接托板上的定位基准面上根据电梯轿厢托架的结构，沿第一定位边、第二定位边和第三定位边相应地设置有用于电梯轿厢托架构件定位焊接的定位结构，同时还设有可以对多种规格的电梯轿厢托架进行定位焊接，具有一定灵活性，采用定位结构进行定位焊接，有效保证电梯轿厢托架的焊接质量，满足工艺要求，同时，可有效提高电梯轿厢托架的生产效率。$中山广都机电有限公司$528400 广东省中山市南朗镇华南现代中医药城中山广都机电有限公司$马发朝;黄辉岸
201410011598.4$CN103719777$20150708$20140110$A23L    1/214   (2006.01);A23L    1/29    (2006.01)$芋包皮及其制作方法$本发明公开了一种芋包皮,各成分的重量百分比为：芋子42-45%、木薯粉35-37%、马铃薯淀粉1.5-2%、白糖0.5-1%、油2.5-3%、小麦淀粉13-15%。本发明能在不使用食品添加剂的情况下，既保留芋头营养和速冻后不开裂，又使面皮再速冻后的味道和口感跟新鲜的一样。$福建圣恒食品有限公司$366000 福建省三明市永安市尼葛路1189号$邱恒根
201410011599.9$CN103766728$20150708$20140110$A23L    1/10    (2006.01);A23L    1/214   (2006.01);A23P    1/02    (2006.01);A23P    1/08    (2006.01)$山药紫薯球的制作方法$本发明公开了一种山药紫薯球,包括紫薯皮及山药馅，所述紫薯皮包裹所述山药馅；所述紫薯皮的成分重量百分比为：糯米粉30-35%、紫薯15-30%、泡打粉0.2-0.8、白糖10-20%、植物油2-8%、小麦淀粉5-10%，水15-20%、乳化剂0.3-0.5%、炼奶香精0.2-0.5%；所述山药馅的成分重量百分比为：山药70-75%、小麦淀粉10-20%、白糖2-8%、水2-8%、植物油2-5%、炼奶香精0.2-0.5%。本发明能在保留紫薯和山药营养的同时，使紫薯和山药的味道更加丰富其口感更佳。$福建圣恒食品有限公司$366000 福建省三明市永安市尼葛路1189号$邱恒根
201410011936.4$CN103751336$20150708$20140112$A61K   36/74    (2006.01);A61K    9/70    (2006.01);A61P    7/10    (2006.01);A61P   29/00    (2006.01);A61K   33/04    (2006.01)$一种治疗静脉输液外渗的中药及制备方法$一种治疗静脉输液外渗的中药及制备，其是由以下重量份的中药原料制作而成的：芒硝30g、大黄30g、金荞麦20g、丹参30g、鬼针草15g、益母草30g、茜草15g。 本发明各原料经辨证配伍共达清热消肿、活血通络之功效，对静脉输液外渗患者疗效显著，值得临床推广。$韩培海$266500 山东省青岛市黄岛区海南岛路158号$韩培海;高思山;曹本格
201410012077.0$CN103734168$20150708$20140110$A01N   47/40    (2006.01);A01P    7/04    (2006.01);A01N   43/90    (2006.01)$一种含有生物农药鱼藤酮的杀虫农药制剂$本发明涉及一种防治桃蚜的农药制剂，具体涉及一种含有生物农药鱼藤酮的杀虫农药制剂，属于农药技术领域。一种含有生物农药鱼藤酮的杀虫农药制剂，其有效成份为鱼藤酮和氟啶虫胺腈，所述鱼藤酮占所述农药制剂总重量的0.1—20%，氟啶虫胺腈占所述农药制剂总重量的0.1—50.0%，余量为辅剂。农药制剂的剂型为微乳剂、水乳剂或悬浮剂。本发明用主剂制成微乳剂、水乳剂和悬浮剂，所制备的药剂具有良好的渗透性、内吸性等特性，对桃蚜高效，杀灭彻底，药剂对环境污染少，生产成本低，适合于桃蚜的化学防治。$南京盈植康农业科技有限公司$211501 江苏省南京市六合区竹镇镇仕林南路168号$陈小军;王平;孟志远;石祖贵;冯建国;付方平
201410012125.6$CN103769526$20150708$20140110$B21K    1/56    (2006.01);B21K   27/02    (2006.01)$一种径向锻造成形丝杠的方法$一种径向锻造成形丝杠的方法，先装夹工件，工件轴向送进，工件旋转送进，锤头打击锻造，使工件上成形丝杠段2/3～3/4部分成形出螺纹形状；第二机械手夹持工件另一端，第一机械手松开并退出，工件不断旋转并送进，锤头不断打击、提起，使工件上成形丝杠段未成形部分成形出螺纹形状，工件由第二机械手夹紧轴向快速送进，卸料，本发明提高材料利用率、缩短生产周期，增加丝杠表面强度，成形精度高，表面质量好，能加工高性能、大直径的丝杠。$西安交通大学$710049 陕西省西安市咸宁路28号$张大伟;赵升吨;张超
201410012555.8$CN103772334$20150708$20140110$C07D  307/93    (2006.01)$一种从牡丹籽皮中提取芪类化合物的方法$本发明主要涉及一种从牡丹籽皮中提取芪类化合物的方法，包括以下步骤：1）取牡丹籽皮原料，进行超声提取，提取结束后过滤，将滤液蒸发浓缩，得到浸膏状物；2）将浸膏状物加入水分散，加入水饱和乙酸乙酯进行萃取；3）将乙酸乙酯浸膏用丙酮溶解，过滤，硅胶拌样，得到分离样品，并加入到硅胶柱中，用石油醚-乙酸混合溶剂进行梯度洗脱，合并相似馏分，得到馏分段1-30；4）将馏分段14用制备HPLC进行分离，得到化合物Ⅰ和Ⅱ；将馏分段18用制备HPLC进行分离，得到化合物Ⅲ。本发明提取的茋类化合具有较好的抗菌和抗肿瘤的活性，可以作为抗菌或抗肿瘤的药物活性成分。本发明的方法提取效率高，整个过程快速、简便，经济效益高。$河南科技大学$471000 河南省洛阳市涧西区西苑路48号$刘普;邓瑞雪;梁菊;杨丹蕾;刘欣;尹卫平;段文录;柴元武;时清亮
201410012836.3$CN103756747$20150708$20140113$C10L    5/44    (2006.01)$一种秸秆类生物质粉碎成型方法$一种秸秆类生物质粉碎成型方法，将秸秆类生物质先送入粉碎机中粉碎，然后将粉碎后的物料送入到成型机中依靠挤压辊挤压成型，引入热风源，热风源产生的热风先将挤压辊及粉碎料加热以便于成型，然后再送入到粉碎机中对物料进行干燥，并对粉碎好的物料筛选后将合格物料吹送至成型机内。本发明先使用热风加热成型机的挤压辊，然后再将该热气流送入到粉碎机内，从而实现对粉碎的物料进行干燥并筛选，粉碎合格的物料被热风送入到成型机成型，一方面避免了细碎物料的损失，另一方面也实现了物料的边粉碎边干燥，从而提高了粉碎的效率和粉碎后物料的质量。$洛阳理工学院$471000 河南省洛阳市高新技术产业开发区芳泽路$梁莉;王海霞;刘和平;李素芳;孟瑾;张伟;张旦闻;杜志强;赵秀婷;>金文中
201410013541.8$CN103719190$20150708$20140113$A21D   10/00    (2006.01);A21D    2/36    (2006.01);A21D    2/26    (2006.01)$一种植物复合蛋白营养面粉$本发明属于食品加工领域，具体地说涉及一种植物蛋白营养面粉。本发明的植物蛋白营养面粉，是向面粉中添加多种通过反胶束制备的植物蛋白而成。本发明所用的面粉由山农16号加工而成的，经测试：籽粒蛋白质12.2%、湿面筋28.1%、沉淀值22.7ml、吸水率60.5ml/100g、稳定时间3.4min、面粉白度75.4；无法用于加工面包添加特定量的采用反胶束法制备的大豆蛋白、花生蛋白与核桃蛋白之后，其湿面筋含量提高了40.2-40.9％，筋力提高了100％，吸水率提高了4.3，形成时间延长了6.5min，稳定时间延长了24.5min，弱化度降低了55BU；从而可以专门用于加工面包。$济南大学$831200 新疆维吾尔自治区昌吉回族自治州呼图壁县呼芳路一公里处$李强;赵晓燕;陈军;李军;王宪昌;张奇志;虎海防;刘风兰;孙雅丽
201410014597.5$CN103738082$20150708$20140113$B43K   29/10    (2006.01)$自带感应照明灯的书写笔$本发明涉及书写笔技术领域，特别涉及一种自带感应照明灯的书写笔，包括笔帽和笔主体，所述笔帽内设有感应触发机构，所述笔主体包括上笔管，下笔管以及连接管，所述上笔管内端和下笔管内端分别套接于连接管两端上，所述笔芯上端插设于笔芯尾帽内，笔尖管外端内设于LED灯，所述笔尖导电内衬与LED灯负极电连接，所述笔尖导电内衬与笔芯尾帽之间电连接设有导电弹簧B，笔芯尾帽与电池负极电连接；所述笔尖管与LED灯正极电连接，笔尖管与连接管之间电连接有导电弹簧C，所述连接管依次通过导电弹簧A，电池座与感应套电连接，所述触控头与电池正极电连接。本发明结构设置合理，可在环境不良的情况下进行有效书写，给工作学习带来极大方便。$余姚市亚世亚文具制造有限公司$315460 浙江省宁波市余姚市临山镇临浦村$吴桂堂
201410014907.3$CN103704796$20150708$20140114$A23L    1/39    (2006.01);A23L    1/30    (2006.01)$螺旋藻玛卡汤及其制作方法$一种螺旋藻玛卡汤及其制作方法,其中，所述汤包括如下重量份的原料，高汤1000-1500份、螺旋藻 5-25份，云南玛卡3-15份，无花果2-8份 茶树菇3-15份，盐1-6份、鸡粉2-10份和味精2-5份。本发明具有制作容易、成份简单，但是滋补功能更好的优点。$广西南宁桂景大酒店有限责任公司$530000 广西壮族自治区南宁市文信路1号桂林大厦$钟超艺
201410016979.1$CN103766474$20150708$20140114$A23B    7/154   (2006.01)$樱桃番茄果实生物防腐保鲜剂及其用途$本发明公开了一种樱桃番茄果实生物防腐保鲜剂，每L生物防腐保鲜剂由1×10<sup>10</sup>～1×10<sup>12</sup>个粘红酵母细胞、400～600mg鼠李糖脂，以及作为余量的水组成；所述粘红酵母为粘红酵母（Rhodotorula glutinis）ZJU11，保藏号为CGMCC NO.3589；所述鼠李糖脂是糖脂含量为70%～90%的浓缩鼠李糖脂。使用上述樱桃番茄果实生物防腐保鲜剂，不但能延缓樱桃番茄果实的腐败，还能保证樱桃番茄果实的品质。$浙江大学$310058 浙江省杭州市西湖区余杭塘路866号$郑晓冬;阎芙洁;徐仕翔;余挺
201410018162.8$CN103706339$20150708$20140115$B01J   20/26    (2006.01);B01J   20/30    (2006.01);C02F   11/00    (2006.01);C02F    1/28    (2006.01);C02F  101/20    (2006.01)$一种制备交联剩余污泥重金属吸附剂的方法$本发明公开了一种制备交联剩余污泥重金属吸附剂的方法，是利用挤出设备将剩余污泥挤出成条，干燥后加入反应器中，加入乙醇浸泡泥条，然后加入NaOH和环氧氯丙烷加热至50～60℃下反应，产物用去离子水洗净，干燥，得交联剩余污泥重金属吸附剂。本发明方法获得的吸附剂克服了剩余污泥在水溶液易于分散的缺点，对低浓度Cu<sup>2+</sup>离子具有良好的吸附能力，并且在0.1M的盐酸和0.1M NaOH溶液中震荡24小时，其形状不发生明显的变化，对剩余污泥的资源化和重金属废水的处理均具有重要意义。$山东大学$250100 山东省济南市历城区山大南路27号$卢雪梅;王婷;张为灿
201410015478.1$CN103705511$20150708$20140114$A61K   31/427   (2006.01);A61P   31/16    (2006.01)$N-[5-(1,2,4-三唑-1-基)噻唑-2-基]脂肪酰胺的医药用途$本发明涉及化学结构式I 所示的N-[5-（1，2，4-三唑-1-基）噻唑-2-基]脂肪酰胺在制备流感病毒神经氨酸酶抑制剂中的应用：<img file="DEST_PATH_IMAGE001.TIF" wi="51" he="25" img-format="jpg"/>Ⅰ式中R选自：C<sub>1</sub>~C<sub>2</sub>烷基、C<sub>3</sub>~C<sub>4</sub>直链或支链烷基；R<sup>1</sup>选自：C<sub>1</sub>~C<sub>2</sub>烷基、C<sub>3</sub>~C<sub>11</sub>直链或支链烷基、C<sub>12</sub>~C<sub>17</sub>直链或支链烷基、乙烯基、丙烯基、含双键或三键的C<sub>4</sub>~C<sub>17</sub>烃基。$长沙理工大学$410114 湖南省长沙市雨花区万家丽南路二段960号$陈平;孙晓潇;陈洁
201410018434.4$CN103763550$20150708$20140116$H04N   17/00    (2006.01);H04N   17/02    (2006.01);H04N   13/00    (2006.01)$一种立体显示器串扰快速测量方法$本发明公开了一种快速测量眼镜式立体显示器串扰的方法，该方法通过合理的设计测试图样，将多种G-to-G灰阶组合同时呈现在眼镜式立体显示器的屏幕上。当立体显示器工作时，运用单反相机透过3D显示器配套眼镜拍摄整屏图样的照片，最终同时得到多组灰阶匹配下的亮度分布数据。以这些亮度分布数据作为基础，实现立体显示器串扰的评估计算以及抑制串扰查找表的计算等任务。本发明充分利用单反相机的多点大范围感光能力，将原本需要连续切换、各不相同的灰阶测试图样集中于同一幅图样中实现一次性测量，大大提高了立体显示器串扰的测量效率，且非常方便的扩展测量密度。同时也可以利用照片亮度校正过程中的数据分析显示器串扰的区域不均匀性。$东南大学$211189 江苏省南京市江宁区东南大学路2号$王坚;张宇宁;李晓华;王保平
201410018642.4$CN103756369$20150708$20140115$C09C    1/36    (2006.01);C09C    3/04    (2006.01);C09C    3/06    (2006.01);C09C    3/08    (2006.01)$二氧化钛的锆铝复合无机表面处理方法$本发明提供了一种二氧化钛的锆铝复合无机表面处理方法。所述方法包括：将二氧化钛打浆成pH为9.0～10浆料；加入分散剂；砂磨；搅拌并升温到45～60℃；搅拌并加入酸性锆盐，保温熟化，酸性锆盐的加入量按氧化锆计为浆料中二氧化钛重量的0.3～5.5%；将浆料升温到55～65℃；搅拌并缓慢加入碱性铝盐，在浆料体系的pH达到9.3～10.0时，同时向浆料体系中加入第一次酸性铝盐以维持pH为9.3～10.0，保温熟化，其中，碱性铝盐和第一酸性铝盐的加入总量按氧化铝计为浆料中二氧化钛重量的1.5～10%；加入第二次酸性铝盐以使pH控制为6.5～7.8；过滤并洗涤，得处理后的二氧化钛。本发明的方法能够减少酸碱用量、节约洗涤水，实现节约成本的目的。$攀钢集团攀枝花钢铁研究院有限公司$617000 四川省攀枝花市东区桃源街90号$吴健春;杜剑桥;李礼;任亚平;路瑞芳
201410018820.3$CN103727702$20150708$20140116$F25B   27/02    (2006.01);F25B   21/02    (2006.01);F16L   53/00    (2006.01)$半导体热泵节能速热水龙头$本发明公开了一种半导体热泵节能速热水龙头，包括：热电热泵芯片层、加热环路、余热回收环路以及水温控制装置。热电热泵芯片层由若干圆形热电热泵芯片组成，热电芯片层的冷热端面分别连接余热回收环路和加热环路，余热回收环路和加热环路之间设有保温隔热垫圈，通过水温控制旋钮调节半导体热泵节能速热水龙头出水温度。本发明利用半导体的热泵功能回收水盆排水余热，并经半导体热泵进行热量二次提升后实现对自来水的快速加热，具有出水水温可控、快速、节能、结构紧凑等特点，在现有的家庭生活用水系统上可直接安装，兼备实用性与舒适性。$湖南大学$410082 湖南省长沙市岳麓区麓山南路1号$张泠;罗勇强;刘忠兵;郑晏芝
201410019055.7$CN103760332$20150708$20140116$C12Q    1/68    (2006.01)$一种基于适配体的手性传感器检测双酚A的方法$一种基于适配体的手性传感器检测双酚A的方法，双酚A缩写为BPA，属于纳米生物技术检测领域。本发明包括：金纳米粒子修饰DNA探针，金纳米粒子组装成不对称的二聚体，金纳米粒子组装体应用圆二色光谱（CD）进行检测。本发明应用了一种BPA适配体修饰的金纳米粒子探针，基于碱基互补配对原则，由适配体及其互补序列修饰的大小金纳米粒子在DNA杂交的作用下组装成手性二聚体，通过不同BPA浓度下CD信号的差异对BPA进行检测。本发明方法简单、快速、灵敏度高、特异性好，能够对实际样品进行检测。$江南大学$214122 江苏省无锡市滨湖区蠡湖大道1800号江南大学食品学院$匡华;胥传来;尹红红;马伟;徐丽广;宋珊珊;刘丽强
201410019357.4$CN103752164$20150708$20140116$B01D   53/80    (2006.01);B01D   53/50    (2006.01);B01D   53/96    (2006.01);B01D   53/62    (2006.01)$一种石灰石-石膏湿法烟气脱硫装置$一种石灰石—石膏湿法烟气脱硫装置，属于电站锅炉、工业锅炉或窑炉的烟气脱硫装置，解决现有烟气脱硫装置中存在的石灰石溶解度小的问题。本发明包括引风机、烟气换热器、吸收塔、浆液循环泵、氧化池、氧化风机、石灰石浆液罐、石灰石浆液泵、石灰石粉仓、石膏排出泵、石膏旋流器、皮带脱水机、滤液水箱和滤液水泵。本发明借助富氧燃烧所产生的高浓度CO<sub>2</sub>烟气对石灰石浆液进行活化，石灰石浆液溶解速率加快，溶解度增加，脱硫效率提高，液气比降低，水的用量减小，达到了节能减排的效果；并且不会产生二次污染，具有良好的经济和环境效益。$华中科技大学$430074 湖北省武汉市洪山区珞喻路1037号$陈汉平;田路泞;王贤华;杨海平;李斌;陈振辉;杨晴;张世红;邵敬爱
201410019487.8$CN103774338$20150708$20140116$D04B    3/02    (2006.01);D04C    7/00    (2006.01)$一种编织用的钩针$本发明属于日常生活用品制造领域，具体涉及一种编织用的钩针。包括针体和与针体可拆卸连接的多个不同型号的钩头，所述针体由针杆部和与针杆部固定连接的中空钩部构成，所述钩头通过连接部与中空钩部连接，连接部内设有压缩弹簧，压缩弹簧将其端部的挡塞推入中空钩部外壁上的固定槽内实现钩头与中空钩部的卡紧。所述针体的另一端设有针帽，针帽端口处设有一个容纳于针体内的连接部，该连接部上设有滑块和向外翘起的弹性杆，滑块与针体内设置的滑槽配合使针帽的尾部容纳于针体内，且当针帽拉出时，弹性杆弹出针体，并形成一个用于固定针体的卡状结构。本发明的针体可与不同型号的钩头可拆卸连接而成，大大提高了编织效率。$河南科技大学$471000 河南省洛阳市涧西区西苑路48号$王珊珊;马骏;王丽娟;廖亮;杜耀中;王莹;许菁斐;杨晓帆
